category,count,skills
Web development,4,"HTML/CSS, JavaScript, Interactive data visualizations, D3.js"
Software engineering,14,"Java, Python, C/C++, OCaml, Git, Object-oriented programming, Functional programming, Data structures, Assembly language, Processor design, Finite automana, Public key cryptography, Ranking and search algorithms, Graph theory and social networks"
App development,11,"iOS development, Android development, Swift, Objective-C, Xcode, Android Studio, Retrofit, OkHttp, Glide, User experience design"
